icao24,origin_country,velocity,geo_altitude
ab6fdd,United States,True,
8a02ff,Indonesia,False,
80162e,India,False,
80163d,India,False,
801647,India,False,
a53eef,United States,False,
ac4963,United States,False,
80163f,India,False,
00b22c,South Africa,False,
8a02ea,Indonesia,False,
a36898,United States,True,
80160a,India,False,
80160b,India,False,
ae1fbb,United States,False,
80160e,India,False,
851914,Japan,False,
a4b228,United States,False,
80160f,India,False,
a15bf8,United States,False,
a5e550,United States,False,
a09273,United States,False,
80161a,India,False,
acdfab,United States,False,
a1025a,United States,False,
a48850,United States,False,
801633,India,False,
a4b238,United States,False,
80161e,India,False,
a2355d,United States,False,
80166d,India,False,
adffd4,United States,False,
a2228b,United States,False,
e8023a,Chile,False,
a47597,United States,False,
801687,India,False,
aae33a,United States,False,
4bc8c6,Turkey,False,
4bc8c7,Turkey,False,
4bc8c5,Turkey,False,
80167e,India,False,
abf008,United States,False,
e80267,Chile,False,
841a6c,Japan,False,
4bc8d5,Turkey,False,
a4d838,United States,False,
adfff8,United States,False,
a2226b,United States,False,
a35592,United States,True,
a39bfa,United States,False,
acdffc,United States,False,
801661,India,False,
801666,India,False,
e80274,Chile,False,
a34268,United States,False,
44029f,Austria,False,
80165f,India,False,
a3689e,United States,False,
ae6311,United States,False,
abf025,United States,False,
a3b86c,United States,False,
a4c527,United States,False,
ac21e4,United States,False,
8a0425,Indonesia,False,
8a0423,Indonesia,False,
adda24,United States,False,
a127d3,United States,False,
adda23,United States,False,
accd69,United States,True,
8a040a,Indonesia,False,
adb7ee,United States,True,
0800af,United Republic of Tanzania,False,
0d11e6,Mexico,False,
4bc8cf,Turkey,False,
a9653d,United States,False,
a71291,United States,False,
4bc8ce,Turkey,False,
ae74ed,United States,True,
e8021f,Chile,False,
3455c1,Spain,False,
ad41ed,United States,False,
a127bb,United States,False,
a34291,United States,False,
accd87,United States,False,
46b82c,Greece,False,
a3428e,United States,False,
a5d28c,United States,False,
a8a87e,United States,False,
a88bee,United States,False,
e48bf8,Brazil,False,
c07bc7,Canada,False,
440214,Austria,False,
a5823e,United States,False,
c07bbe,Canada,False,
a091d5,United States,True,
46b837,Greece,False,
46b838,Greece,False,
440201,Austria,False,
a76bc7,United States,False,
a5f87d,United States,False,
a8584a,United States,False,
8851e2,Thailand,False,
46b821,Greece,False,
46b828,Greece,False,
a114ed,United States,False,
a0f4b5,United States,False,
ab6fbf,United States,False,
851958,Japan,False,
a71257,United States,False,
a8a82f,United States,False,
aaf60a,United States,True,
a7bbb2,United States,False,
a2ba48,United States,False,
8014a4,India,False,
a38a3a,United States,False,
aa3d45,United States,False,
8014a3,India,False,
aa07f9,United States,False,
a4d7dc,United States,False,
7cf9de,Australia,False,
885226,Thailand,False,
7c1c50,Australia,True,
7cf9df,Australia,False,
7cf9da,Australia,False,
e49ec9,Brazil,False,
c0481b,Canada,False,
7cf9e8,Australia,False,
a39d79,United States,False,
7cf9e2,Australia,True,
7cf9e5,Australia,False,
e0b215,Argentina,False,
8014ae,India,False,
a3a4ed,United States,False,
accd10,United States,False,
8a047a,Indonesia,False,
c0484c,Canada,False,
c81d80,New Zealand,False,
84d283,Japan,False,
c81d8e,New Zealand,False,
accd09,United States,False,
a487cd,United States,False,
aaf4c8,United States,False,
ac34ae,United States,False,
a9a289,United States,False,
8014e8,India,False,
8014e9,India,False,
aa3d08,United States,False,
e49ef0,Brazil,False,
ac34bf,United States,False,
85188c,Japan,False,
8014f7,India,False,
ac6a1f,United States,False,
a39d9b,United States,False,
471f9a,Hungary,False,
8a043b,Indonesia,False,
a40d7a,United States,False,
e0b285,Argentina,False,
a26a93,United States,False,
a3b7f4,United States,False,
471f6e,Hungary,False,
4520ea,Bulgaria,False,
8014d6,India,False,
a40d6c,United States,False,
aded25,United States,True,
471f7a,Hungary,False,
a964f1,United States,False,
34310d,Spain,False,
471f65,Hungary,False,
a99a3d,United States,False,
471f78,Hungary,False,
471f70,Hungary,False,
a1bfac,United States,False,
a35605,United States,False,
a16ff1,United States,False,
a24935,United States,False,
7809ab,China,False,
ae6245,United States,False,
8014fd,India,False,
a977fd,United States,True,
a87a76,United States,False,
e48c4c,Brazil,False,
a00978,United States,False,
a59601,United States,False,
ae623c,United States,False,
4400be,Austria,False,
ae6235,United States,False,
471f3e,Hungary,False,
a831e5,United States,False,
a46309,United States,False,
a46304,United States,False,
801600,India,False,
7809e9,China,False,
7809e7,China,False,
ae624b,United States,False,
ae624a,United States,False,
801606,India,False,
7cf9a7,Australia,False,
a5d1c6,United States,False,
801608,India,False,
7809f8,China,False,
471f02,Hungary,False,
471f00,Hungary,False,
471f01,Hungary,False,
a831b2,United States,False,
ae6291,United States,False,
a977bb,United States,False,
7c2f04,Australia,True,
a3560b,United States,True,
885281,Thailand,False,
a0934b,United States,False,
0d1233,Mexico,False,
a3b90e,United States,False,
80174b,India,False,
ad9db0,United States,False,
80175a,India,False,
a4d98e,United States,False,
80175f,India,False,
e49f45,Brazil,False,
a3a67b,United States,False,
800441,India,False,
c07e32,Canada,False,
a2cce4,United States,False,
c07e33,Canada,True,
ad4404,United States,True,
80172c,India,False,
a2dffe,United States,False,
801738,India,False,
a64ce6,United States,False,
abadd6,United States,True,
a4630f,United States,False,
801748,India,False,
801749,India,False,
a85964,United States,False,
801751,India,False,
8852e1,Thailand,False,
0d10e4,Mexico,False,
a2107b,United States,True,
3c4b2f,Germany,False,
ac245c,United States,False,
3c4b2d,Germany,False,
