icao24,origin_country,velocity,geo_altitude
39de4f,France,False,
a5f852,United States,True,
80162c,India,False,
ae1fa0,United States,False,
39de4a,France,True,
39de4c,France,False,
a53edd,United States,False,
39de57,France,False,
a77ec5,United States,False,
39de59,France,False,
39de58,France,False,
ab6fdd,United States,False,
a60529,United States,False,
a3feee,United States,False,
a0f57e,United States,False,
39de51,France,False,
39de50,France,False,
39de55,France,False,
a34230,United States,False,
a0e278,United States,False,
a3ebd8,United States,False,
801648,India,False,
a41ef3,United States,True,
a0928e,United States,False,
acdfa6,United States,True,
a9a0fb,United States,False,
ac4963,United States,False,
00b22e,South Africa,False,
a36898,United States,False,
acdfa3,United States,False,
a41ee6,United States,False,
abacb9,United States,False,
adffb3,United States,False,
80160a,India,False,
c047e9,Canada,False,
a5954e,United States,False,
aa9300,United States,False,
801619,India,False,
c06a11,Canada,False,
a2cbb5,United States,False,
aae327,United States,False,
a4b228,United States,False,
aaf656,United States,False,
a09273,United States,False,
a97808,United States,False,
aaf665,United States,False,
ad5623,United States,True,
ad5628,United States,False,
a3685d,United States,True,
acdfab,United States,True,
a0e250,United States,False,
39de46,France,False,
407a05,United Kingdom,False,
39de45,France,False,
39de48,France,False,
a1abbe,United States,False,
39de47,France,False,
39de49,France,False,
a34215,United States,True,
ac2328,United States,False,
a2355d,United States,True,
39de41,France,False,
aa4fc9,United States,False,
39de43,France,False,
80166c,India,False,
44028c,Austria,False,
ac498d,United States,False,
adeca5,United States,False,
ab0356,United States,False,
a2228b,United States,False,
ae1fe7,United States,False,
801685,India,False,
4acb04,Sweden,False,
51116f,Estonia,False,
4bc8c6,Turkey,False,
4bc8c5,Turkey,False,
4bc8c3,Turkey,False,
ab0361,United States,False,
4bc8c1,Turkey,False,
e8024d,Chile,True,
4bc8d0,Turkey,False,
3dbc00,Germany,False,
511171,Estonia,False,
adb954,United States,False,
acdfcf,United States,True,
4bc8d5,Turkey,False,
4bc8d3,Turkey,False,
4bc8d4,Turkey,False,
a40bed,United States,False,
adfff6,United States,False,
80164e,India,False,
a39bfa,United States,False,
ad5679,United States,False,
471efa,Hungary,False,
47b217,Norway,False,
acdffc,United States,False,
ae6328,United States,False,
471efe,Hungary,False,
00b230,South Africa,False,
51118b,Estonia,False,
a40bdc,United States,False,
51118a,Estonia,False,
44029f,Austria,True,
511195,Estonia,False,
a3a541,United States,False,
aae377,United States,True,
ae0cc6,United States,False,
511194,Estonia,False,
a3689e,United States,True,
a3556f,United States,False,
ac1042,United States,False,
801674,India,False,
3442c2,Spain,False,
801673,India,False,
abf025,United States,False,
801678,India,False,
a950ce,United States,False,
a3b86c,United States,False,
ae1fef,United States,False,
a4621f,United States,False,
a4c527,United States,True,
a53ee2,United States,False,
801671,India,False,
