icao24,origin_country,velocity,geo_altitude
39de4f,France,True,
39de4e,France,True,
ab1644,United States,False,
e8027c,Chile,False,
e8027b,Chile,False,
39de4a,France,True,
39de4d,France,False,
aa9321,United States,False,
39de4c,France,False,
a53edd,United States,True,
39de57,France,False,
488284,Poland,False,
39de59,France,False,
39de58,France,False,
c07d23,Canada,False,
c07d20,Canada,False,
801643,India,False,
39de51,France,False,
39de50,France,False,
488280,Poland,False,
39de55,France,False,
39de54,France,False,
80163d,India,True,
a3ebd8,United States,False,
80163c,India,False,
a53eef,United States,True,
ac4963,United States,True,
a3b88e,United States,False,
a36898,United States,True,
3d10c5,Germany,False,
407a20,United Kingdom,True,
acdfa3,United States,False,
00b22f,South Africa,False,
a72513,United States,False,
a8dc9f,United States,False,
aa9300,United States,False,
801623,India,False,
a2cbb5,United States,False,
a4d889,United States,False,
80160d,India,False,
4057de,United Kingdom,False,
ad5628,United States,False,
39de46,France,False,
407a05,United Kingdom,False,
39de45,France,False,
a1025a,United States,True,
c034b2,Canada,False,
39de48,France,False,
a2ded8,United States,False,
39de47,France,False,
407a06,United Kingdom,False,
8a02cb,Indonesia,False,
801633,India,False,
a4b238,United States,False,
80161e,India,False,
39de42,France,False,
adb91a,United States,False,
39de43,France,True,
511187,Estonia,False,
44028c,Austria,False,
a4758e,United States,False,
ac498c,United States,False,
511188,Estonia,True,
4acb01,Sweden,False,
4acb02,Sweden,False,
4acb04,Sweden,False,
801689,India,False,
51116f,Estonia,False,
4bc8c9,Turkey,False,
4bc8c4,Turkey,False,
ae1fda,United States,False,
4bc8c3,Turkey,False,
801680,India,False,
4bc8c1,Turkey,False,
80167e,India,False,
80167c,India,False,
3dbc00,Germany,False,
511171,Estonia,False,
a007c9,United States,False,
a65ea3,United States,False,
801698,India,True,
841a6c,Japan,False,
4bc8d6,Turkey,False,
4bc8d3,Turkey,False,
acdfe6,United States,False,
4bc8d4,Turkey,True,
80164e,India,False,
ac234f,United States,False,
ad5679,United States,True,
ac101f,United States,False,
80164c,India,False,
471efb,Hungary,False,
acdffc,United States,False,
471efe,Hungary,False,
471efd,Hungary,False,
801661,India,False,
ac3688,United States,False,
00b230,South Africa,False,
ad3006,United States,False,
51118a,Estonia,False,
a34268,United States,False,
aae374,United States,False,
511195,Estonia,False,
e8026d,Chile,False,
a9a0b6,United States,False,
a3689e,United States,False,
a2cbf0,United States,False,
ac1042,United States,False,
a4c527,United States,False,
ac21e4,United States,False,
0d11c0,Mexico,False,
3455da,Spain,False,
a9a218,United States,False,
4acb41,Sweden,False,
4acb43,Sweden,False,
4acb42,Sweden,False,
440261,Austria,False,
adda24,United States,False,
39470b,France,False,
ac6a65,United States,False,
aae1ea,United States,False,
3455d7,Spain,False,
8a0418,Indonesia,False,
440248,Austria,False,
3455d9,Spain,False,
a7124e,United States,False,
4acb58,Sweden,False,
440251,Austria,False,
440250,Austria,False,
80168c,India,False,
3c5ee5,Germany,False,
0d11e4,Mexico,False,
46b83a,Greece,False,
3c5ee9,Germany,False,
4bc8cf,Turkey,False,
0d11e9,Mexico,False,
4bc8cd,Turkey,False,
4bc8ce,Turkey,False,
4acb23,Sweden,False,
4bc8cb,Turkey,False,
4bc8cc,Turkey,False,
adda48,United States,False,
3455c1,Spain,False,
3c5ee3,Germany,False,
3c5ee2,Germany,False,
3c5ee1,Germany,False,
46b82a,Greece,False,
a34291,United States,False,
a127bb,United States,False,
46b82d,Greece,False,
46b82b,Greece,False,
46b82c,Greece,False,
3c5eed,Germany,False,
3c5eec,Germany,True,
3c5eeb,Germany,False,
4bc8da,Turkey,False,
3c5eea,Germany,False,
a5d28e,United States,False,
a3428e,United States,False,
a71288,United States,False,
3c5ef0,Germany,False,
a247a0,United States,False,
a8dbbd,United States,False,
40326a,United Kingdom,False,
a6aef7,United States,False,
46b831,Greece,True,
c07bbe,Canada,False,
46b832,Greece,False,
44020c,Austria,False,
46b833,Greece,False,
a8a859,United States,False,
44020b,Austria,False,
46b837,Greece,False,
a6188e,United States,False,
440209,Austria,False,
ab1612,United States,False,
a52bfb,United States,False,
ac491d,United States,False,
a114f4,United States,False,
a101c3,United States,False,
8851e5,Thailand,False,
a8584a,United States,False,
46b821,Greece,False,
a96541,United States,False,
8851e4,Thailand,False,
46b824,Greece,False,
46b825,Greece,False,
46b822,Greece,False,
a234d7,United States,False,
46b828,Greece,False,
a15d6c,United States,False,
aa099e,United States,False,
511122,Estonia,False,
4cc2a7,Iceland,False,
440237,Austria,False,
a7256e,United States,False,
4cc2a6,Iceland,False,
ab6fbf,United States,False,
a0f4b1,United States,False,
aa3ce7,United States,False,
a02a40,United States,False,
47880f,Norway,False,
440224,Austria,False,
e80200,Chile,False,
44021f,Austria,False,
a8453e,United States,False,
a091fc,United States,False,
a9a28d,United States,False,
a38a3a,United States,False,
ae629b,United States,False,
a101f9,United States,False,
c0482a,Canada,False,
ab27e1,United States,False,
4aca9a,Sweden,False,
a88d01,United States,False,
a5f7e9,United States,False,
c03517,Canada,True,
885226,Thailand,False,
e49ec9,Brazil,False,
8014b0,India,False,
a3a4dd,United States,False,
3ffbc0,Germany,False,
a474bb,United States,False,
c0481c,Canada,False,
a0e1f3,United States,True,
abad16,United States,False,
e0b214,Argentina,False,
7c1c45,Australia,False,
4aca82,Sweden,False,
a3a4ed,United States,False,
4aca84,Sweden,False,
4aca83,Sweden,False,
4aca86,Sweden,True,
4aca85,Sweden,False,
4aca88,Sweden,False,
4aca87,Sweden,False,
a64d4d,United States,False,
accd18,United States,False,
4aca89,Sweden,False,
a091f3,United States,False,
e07584,Argentina,False,
ab5d4a,United States,False,
a3ed7c,United States,True,
ab14d9,United States,True,
48f906,Poland,False,
4aca90,Sweden,False,
4aca93,Sweden,False,
4aa90f,Sweden,False,
4aca92,Sweden,False,
a4b1c7,United States,False,
4aca94,Sweden,True,
4aca98,Sweden,False,
a234ef,United States,False,
a3ed91,United States,True,
4aca8b,Sweden,False,
4aca8d,Sweden,False,
ac47de,United States,True,
4aca8c,Sweden,False,
4aca8f,Sweden,False,
4aca8e,Sweden,False,
344498,Spain,False,
a857c2,United States,False,
a6f28c,United States,True,
a26a9c,United States,False,
e49eee,Brazil,False,
a2ba7e,United States,False,
3c5eef,Germany,False,
3c5eee,Germany,False,
8014de,India,False,
ac34bf,United States,False,
86ced2,Japan,False,
e49ef3,Brazil,False,
85188c,Japan,True,
471f8e,Hungary,False,
4520ce,Bulgaria,False,
4400f3,Austria,False,
a617b9,United States,False,
86cec5,Japan,False,
344481,Spain,False,
a40d8d,United States,True,
8014f2,India,False,
a64d03,United States,False,
ac6a1f,United States,False,
4400ec,Austria,False,
a3b7e5,United States,False,
a39d9b,United States,False,
e48ba9,Brazil,False,
8014c1,India,False,
a5f7ab,United States,False,
8014c4,India,False,
a40d7a,United States,False,
471f6f,Hungary,False,
a26a93,United States,False,
ac21af,United States,False,
86cef4,Japan,False,
c04826,Canada,False,
e0b284,Argentina,False,
471f6d,Hungary,False,
471f6e,Hungary,False,
471f6b,Hungary,False,
e48ba7,Brazil,False,
86cee7,Japan,False,
8014d8,India,False,
e48baa,Brazil,False,
abad6c,United States,False,
a5f7b0,United States,False,
a2ba3f,United States,False,
471f7a,Hungary,False,
344455,Spain,False,
4a2021,Romania,False,
471f66,Hungary,False,
471f67,Hungary,False,
aae267,United States,False,
a951c7,United States,False,
ae6224,United States,False,
471f64,Hungary,False,
a63a87,United States,False,
a4890a,United States,False,
7809a6,China,False,
344449,Spain,False,
4400c8,Austria,False,
344445,Spain,False,
ac358e,United States,False,
a6f1d3,United States,False,
471f77,Hungary,False,
00895b,South Africa,False,
aa2a7f,United States,False,
a1bfb7,United States,False,
ae6220,United States,True,
a1bfac,United States,False,
a03ce6,United States,True,
aae26e,United States,False,
a16ff1,United States,False,
4400b7,Austria,False,
4400b6,Austria,False,
471f5c,Hungary,False,
c07c71,Canada,False,
4400b3,Austria,False,
471f44,Hungary,False,
a9ea06,United States,False,
4400e1,Austria,False,
742838,Jordan,False,
e49f95,Brazil,False,
742834,Jordan,False,
7809aa,China,False,
471f41,Hungary,False,
8014fd,India,False,
e48c4c,Brazil,True,
471f58,Hungary,False,
a9fd46,United States,False,
a951b9,United States,False,
c07c7b,Canada,False,
a03cc2,United States,False,
34440a,Spain,False,
4786c5,Norway,False,
34440b,Spain,False,
471f3e,Hungary,False,
471f3d,Hungary,False,
a831e5,United States,False,
a8ca31,United States,False,
344417,Spain,True,
a4c607,United States,False,
7809d5,China,False,
a724e3,United States,False,
a977e4,United States,False,
471f28,Hungary,False,
a3696e,United States,False,
a5e4e6,United States,False,
471f20,Hungary,False,
a88d47,United States,False,
ae6274,United States,False,
344409,Spain,False,
0d1201,Mexico,False,
801600,India,False,
0d1202,Mexico,False,
a1bff9,United States,False,
471f37,Hungary,False,
471f38,Hungary,False,
a9b4a4,United States,False,
742824,Jordan,False,
471f31,Hungary,False,
801608,India,False,
5003c6,San Marino,False,
aa91b6,United States,False,
ab5d08,United States,False,
0d1218,Mexico,True,
5003f3,San Marino,False,
